Current,Tension
-0.00023363,3.0001
-0.000228744,3.09988
-0.000225854,3.20241
-0.000221372,3.3019
-0.000217574,3.40167
-0.000213746,3.50123
-0.000209343,3.60086
-0.000204668,3.69994
-0.000199602,3.80304
-0.000195087,3.90207
-0.000190767,4.00153
-0.000186252,4.10083
-0.000179361,4.20037
-0.000175014,4.29999
-0.000169084,4.40291
-0.00016467,4.50224
-0.000159029,4.60174
-0.000153342,4.7008
-0.000146967,4.80033
-0.000141187,4.89952
-0.000134855,5.00236
-0.000127965,5.10238
-0.000121869,5.20189
-0.000115137,5.30156
-0.000107245,5.4008
-0.00010039,5.50032
-9.35E-05,5.59931
-8.45E-05,5.70216
-7.70E-05,5.80141
-6.95E-05,5.90092
-6.21E-05,6.00063
-5.43E-05,6.10009
-4.64E-05,6.19943
-3.68E-05,6.30328
-2.85E-05,6.40144
-1.89E-05,6.50036
-9.84E-06,6.59889
3.60E-07,6.6994
9.99E-06,6.79883
2.07E-05,6.90159
3.01E-05,7.0009
4.08E-05,7.10037
5.14E-05,7.19985
6.26E-05,7.29882
7.44E-05,7.39826
8.50E-05,7.49749
9.76E-05,7.60018
0.000110149,7.69975
0.000122659,7.79919
0.000135795,7.89838
0.000149317,7.99781
0.000161893,8.09861
0.000176381,8.20143
0.000190314,8.30075
0.000205181,8.40029
0.000219408,8.50006
0.000235028,8.59963
0.000249247,8.69888
0.000265791,8.80187
0.000282849,8.9015
0.00029861,9.00051
0.000315822,9.10007
0.000333512,9.1994
0.00035028,9.29893
0.000368703,9.40192
0.000387713,9.50157
0.000406019,9.60081
0.000423714,9.70047
0.00044435,9.79948
0.000465237,9.89896
0.000483907,9.99835
0.00050651,10.10113
0.000527695,10.20078
0.000548603,10.30026
0.000570417,10.39953
0.000594658,10.49919
0.000616435,10.59876
0.000641102,10.70116
0.00066523,10.80072
0.000688003,10.89995
0.000713728,10.99956
0.000741924,11.09912
0.00076667,11.19863
0.000796857,11.30118
0.000821797,11.40086
0.00085072,11.49992
0.00087662,11.5994
0.000905058,11.69859
0.000935549,11.79814
0.000964605,11.89777
0.000996112,12.00072
0.00103,12.10004
0.00106,12.19954
0.00109,12.29927
0.00112,12.39836
0.00116,12.49793
0.00119,12.60042
0.00123,12.69998
0.00126,12.79976
0.0013,12.89928
0.00133,12.99847
0.00137,13.09822
0.00141,13.20054
0.00145,13.30005
0.00149,13.39933
0.00153,13.49904
0.00157,13.59852
0.00161,13.69812
0.00165,13.7974
0.00169,13.90024
0.00174,13.99995
0.00178,14.09899
0.00182,14.19849
0.00187,14.29769
0.00192,14.39735
0.00196,14.50034
0.00201,14.59993
0.00206,14.69902
0.00211,14.7987
0.00215,14.89782
0.0022,14.99736
0.00226,15.09982
0.00231,15.19943
0.00236,15.29921
0.00241,15.39873
0.00246,15.49804
0.00252,15.59947
0.00258,15.70192
0.00263,15.80157
0.00269,15.90125
0.00274,16.00043
0.0028,16.10005
0.00286,16.19973
0.00291,16.29938
0.00298,16.40193
0.00304,16.50147
0.00309,16.60066
0.00316,16.70021
0.00322,16.79944
0.00328,16.89909
0.00335,17.00207
0.00341,17.10156
0.00347,17.20086
0.00354,17.30044
0.0036,17.39963
0.00367,17.49921
0.00374,17.60215
0.00381,17.70144
0.00387,17.80098
0.00394,17.90067
0.004,18.00015
0.00407,18.0994
0.00414,18.19914
0.00422,18.30155
0.00428,18.40113
0.00435,18.50042
0.00442,18.59998
0.0045,18.70005
0.00456,18.79962
0.00464,18.90219
0.00471,19.00175
0.00478,19.10086
0.00485,19.20055
0.00493,19.30019
0.005,19.39945
0.00508,19.5024
0.00515,19.60204
0.00522,19.70163
0.00529,19.80091
0.00537,19.90051
0.00544,19.9996
0.00552,20.1025
0.00559,20.20184
0.00566,20.30135
0.00573,20.40108
0.00581,20.50062
0.00588,20.59994
0.00595,20.69945
0.00603,20.80192
0.0061,20.90149
0.00617,21.00123
0.00625,21.10047
0.00632,21.20005
0.00639,21.29975
0.00646,21.40262
0.00654,21.5018
0.00661,21.60145
0.00667,21.70051
0.00675,21.80013
0.00681,21.89944
0.00689,22.00235
0.00695,22.1021
0.00703,22.20169
0.00709,22.30091
0.00716,22.40054
0.00723,22.49966
0.0073,22.59928
0.00736,22.70233
0.00743,22.80153
0.0075,22.90105
0.00756,23.00075
0.00763,23.10037
0.00769,23.19964
0.00774,23.30258
0.00781,23.40164
0.00788,23.50126
0.00793,23.60053
0.00799,23.70019
0.00806,23.79971
0.00811,23.90249
0.00818,24.00196
0.00823,24.10144
0.00828,24.20056
0.00833,24.30016
0.0084,24.39993
0.00846,24.5024
0.00851,24.60209
0.00857,24.7017
0.00861,24.80125
0.00867,24.90048
0.00872,25.00013
0.00877,25.09914
0.00883,25.20204
0.00887,25.30145
0.00892,25.4009
